"","sp.pop","Genus_species","Common_name","Population","Habitat_type","Habitat_open","Habitat_closed","Habitat_cat","Habitat_heterogenity","Activity_pattern","DisperseM","DisperseF","solitaryM","solitaryF","Solitary","MF","MF_adult_off","MFF","FMM","FFMM","FF","MM","Sex_specific_group","Sex_specific_solitaryM","Sex_specific_solitaryF","Sibling","Nbr_of_studies","Nbr_social_units","Nbr_papers_for_each_field_sites","IVSO","Main1","Main2","calculation_main_SO","foraging_style","level_of_society","Disruption","Locomotion","mean_Male_Galan","mean_Female_Galan","mean_other_Galan","sd_Male_Galan","sd_Female_Galan","sd_other_Galan","mean_Fruits_galan","mean_Seeds_galan","mean_Leaves_galan","mean_Flowers_galan","mean_Animal_galan","sd_Fruits_galan","sd_Seeds_galan","sd_Leaves_galan","sd_Flowers_galan","sd_Animals_galan","IVSO_prop","IVSOint","superfamily"
"373","pop","Hylobates_muelleri","East Bornean Gray Gibbon","Sabah, Borneo","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"none","MF","MF",1,"groups","one","yes","AR",5.63,5.37,5.5,NA,NA,NA,57.5,NA,23.8,12.1,0.8,NA,NA,NA,NA,NA,0,0,"Hominoidea"
"375","pop","Hylobates_klossii","Kloss's Gibbon","Siberut Island, Indonesia","Forest",0,1,"closed",1,"Diurnal",NA,2,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,2,"none","MF","MF",1,"groups","one","yes","AR",5.67,5.92,5.8,NA,NA,NA,72,NA,2,NA,25,NA,NA,NA,NA,NA,0,0,"Hominoidea"
"377","pop","Hylobates_lar","Lar Gibbon","Ketembe Research Station, Indonesia","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,"none","MF","MF",1,"groups","one","yes","AR",5.92,5.36,5.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Hominoidea"
"378","pop","Hylobates_lar","Lar Gibbon","Khao Yai National Park, Thailand","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,35,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,42,6,"wp","MF","MF",0.833333333,"groups","one","yes","AR",5.92,5.36,5.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166666667,7,"Hominoidea"
"379","pop","Hylobates_lar","Lar Gibbon","Huai Kha Khaeng Wildlife Sanctuary, Thailand","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"none","MF","MF",1,"groups","one","none","AR",5.92,5.36,5.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Hominoidea"
"381","pop","Hylobates_moloch","Moloch/Silvery Gibbon","Gunung Halimun Salak National Park, Java, Indonesia","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,"wp","MF","MF",0.8,"groups","one","none","AR",6.58,6.25,NA,NA,NA,NA,61,NA,38,1,NA,NA,NA,NA,NA,NA,0.2,0,"Hominoidea"
"382","pop","Hylobates_moloch","Moloch/Silvery Gibbon","Cagar Alam Leuweung Sancang, Java, Indonesia","Forest",0,1,"closed",1,"Diurnal",NA,2,NA,NA,NA,5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,6,1,"wp","MF","MF",0.833333333,"groups","one","none","AR",6.58,6.25,NA,NA,NA,NA,61,NA,38,1,NA,NA,NA,NA,NA,NA,0.166666667,1,"Hominoidea"
"384","pop","Hylobates_muelleri","Müller's Gibbon","Kutai Nature Reserve, Indonesia","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"none","MF","MF",1,"groups","one","none","AR",5.44,5.27,5.35,NA,NA,NA,62,NA,32,7,2,NA,NA,NA,NA,NA,0,0,"Hominoidea"
"385","pop","Hylobates_muelleri","Müller's Gibbon","Mentoko Camp, Indonesia","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"none","MF","MF",1,"groups","one","none","AR",5.44,5.27,5.35,NA,NA,NA,62,NA,32,7,2,NA,NA,NA,NA,NA,0,0,"Hominoidea"
"387","pop","Hylobates_pileatus","Pileated Gibbon","Khao Soi Dao Wildlife Sanctuary, Thailand","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,11,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,1,"wp","MF","MF",0.916666667,"groups","one","none","AR",5.5,5.44,5.47,NA,NA,NA,71,NA,13,NA,15,NA,NA,NA,NA,NA,0.083333333,0,"Hominoidea"
"388","pop","Hylobates_pileatus","Pileated Gibbon","Khao Yai National Park, Thailand","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,2,"none","MF","MF",1,"groups","one","none","AR",5.5,5.44,5.47,NA,NA,NA,71,NA,13,NA,15,NA,NA,NA,NA,NA,0,0,"Hominoidea"
"389","pop","Hylobates_pileatus","Pileated Gibbon","Khao Ang Rue Nai Wildlife Sanctuary, Thailand","forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"none","MF","MF",1,"groups","one","none","AR",5.5,5.44,5.47,NA,NA,NA,71,NA,13,NA,15,NA,NA,NA,NA,NA,0,0,"Hominoidea"
"391","pop","Indri_indri","Indri","Maromizaha Forest, Madagascar","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,"none","MF","MF",1,"groups"," ","none","AR",5.83,6.84,6.465,NA,NA,0.176776695,25,10,62.5,NA,NA,NA,NA,NA,NA,NA,0,0,"Lemuroidea"
"392","pop","Indri_indri","Indri","Alanamazoatra, Madagascar","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,5,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,7,2,"wp","MF","MF",0.714285714,"groups"," ","none","AR",5.83,6.84,6.465,NA,NA,0.176776695,25,10,62.5,NA,NA,NA,NA,NA,NA,NA,0.285714286,2,"Lemuroidea"
"395","pop","Oreonax_flavicauda","Peruvian Yellow-tailed Wooly Monkey","Peroles, Peru","Forest_Grassland_Artificial",1,1,"both",3,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,3,1,"none","FFMM","FFMM",1,"groups","one","none","AR",8.5,6,7.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Ceboidea"
"397","pop","Lagothrix_lagotricha","Humboldt's Wooly Monkey","La Macarena, Columbia","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,1,"none","FFMM","FFMM",1,"groups","one","none"," ",NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Ceboidea"
"398","pop","Lagothrix_lagotricha","Humboldt's Wooly Monkey","Estacion Biologica Caparu Colombia","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,"none","FFMM","FFMM",1,"groups","one","none"," ",NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Ceboidea"
"399","pop","Lagothrix_lagotricha","Humboldt's Wooly Monkey","Tinigua National Park Colombia","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,10,1,"none","FFMM","FFMM",1,"groups","one","none"," ",NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Ceboidea"
"402","pop","Lagothrix_poeppigii","Silvery Woolly Monkey","Tiputini Biodiversity Station, Ecuador","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,1,"none","FFMM","FFMM",1,"groups","one","none","AR",8.5,6,7.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Ceboidea"
"403","pop","Lagothrix_poeppigii","Silvery Woolly Monkey","Yasuni National Park Ecuador","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,5,1,"none","FFMM","FFMM",1,"groups","one","none","AR",8.5,6,7.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Ceboidea"
"405","pop","Lemur_catta","Ring-Tailed Lemur","Beza Mahaflahy, Madagascar","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,13,3,"none","FFMM","FFMM",1,"groups","one","none","BOTH",2.21,2.21,2.21,NA,NA,NA,46.5,NA,44,7,NA,NA,NA,NA,NA,NA,0,0,"Lemuroidea"
"406","pop","Lemur_catta","Ring-Tailed Lemur","Berenty Private Reserve, Southeastern Madagascar","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,1,NA,23,NA,NA,NA,NA,NA,NA,NA,24,4,"wp","FFMM","FFMM",0.958333333,"groups","ff","none","BOTH",2.21,2.21,2.21,NA,NA,NA,46.5,NA,44,7,NA,NA,NA,NA,NA,NA,0.041666667,1,"Lemuroidea"
"408","pop","Leontopithecus_caissara","Black-Faced Lion Tamarin","Ariri region Cananenia Sao Paulo, Brazil","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,"wp","MF","MF",1,"groups","one","yes","AR",0.606,0.551,0.58,NA,NA,NA,74.52,NA,NA,1,10.57,NA,NA,NA,NA,NA,0,0,"Ceboidea"
"409","pop","Leontopithecus_caissara","Black-Faced Lion Tamarin","Superagui Island Parana, Brazil","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,1,NA,1,NA,NA,1,3,NA,1,NA,NA,1,NA,NA,6,1,"wp","FFMM","FFMM",0.5,"groups","one","none","AR",0.606,0.551,0.58,NA,NA,NA,74.52,NA,NA,1,10.57,NA,NA,NA,NA,NA,0.5,3,"Ceboidea"
"412","pop","Leontopithecus_chrysopygus","Black Lion Tamarin","Caetetus Ecological Station, Brazil","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"none","FMM","FMM",1,"groups","one","none","AR",NA,NA,0.615,NA,NA,NA,73.4,0.2,NA,NA,10.1,NA,NA,NA,NA,NA,0,0,"Ceboidea"
"413","pop","Leontopithecus_chrysopygus","Black Lion Tamarin","Morro do Diabo State Park, Brazil","Forest_Wetland",0,1,"closed",2,"Diurnal",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"none","MF","MF",1,"groups","one","none","AR",NA,NA,0.615,NA,NA,NA,73.4,0.2,NA,NA,10.1,NA,NA,NA,NA,NA,0,0,"Ceboidea"
"415","pop","Leontopithecus_rosalia","Golden Lion Tamarin","Poco das Antas Biological Reserve, Brazil","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,10,NA,1,5,3,NA,1,NA,NA,NA,NA,NA,19,3,"wp","MF","MF",0.526315789,"groups","one","none","AR",0.62,0.598,NA,NA,NA,NA,81.8,NA,NA,5,14.5,3.111269837,NA,NA,NA,1.272792206,0.473684211,9,"Ceboidea"
"416","pop","Leontopithecus_rosalia","Golden Lion Tamarin","Uniao Biological Reserve, Brazil","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,7,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,12,2,"wp","MF","MF",0.583333333,"groups","one","none","AR",0.62,0.598,NA,NA,NA,NA,81.8,NA,NA,5,14.5,3.111269837,NA,NA,NA,1.272792206,0.416666667,5,"Ceboidea"
"417","pop","Leontopithecus_rosalia","Golden Lion Tamarin","Silva Jardim, Brazil","Forest",0,1,"closed",1,"Diurnal",4,3,NA,NA,NA,1,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,4,1,"wp","FMM","FMM",0.5,"groups","one","none","AR",0.62,0.598,NA,NA,NA,NA,81.8,NA,NA,5,14.5,3.111269837,NA,NA,NA,1.272792206,0.5,2,"Ceboidea"
"424","pop","Lepilemur_edwardsi","Milne-Edwards' Sportive Lemur","Ankarafantsika, Madagascar","Forest",0,1,"closed",1,"Nocturnal",NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,"none","MF","MF",1,"solitary"," ","none","AR",0.928,0.934,1.02,NA,NA,NA,0.3,NA,74.4,5.2,NA,NA,NA,NA,NA,NA,0,0,"Lemuroidea"
"425","pop","Lepilemur_edwardsi","Milne-Edwards' Sportive Lemur","Anpijoroa, Madagascar","Forest",0,1,"closed",1,"Nocturnal",NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,"none","MF","MF",1,"solitary"," ","none","AR",0.928,0.934,1.02,NA,NA,NA,0.3,NA,74.4,5.2,NA,NA,NA,NA,NA,NA,0,0,"Lemuroidea"
"432","pop","Lepilemur_leucopus","White-footed Sportive Lemur","Berenty, Madagascar","Forest",0,1,"closed",1,"Nocturnal",NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,"none","MF","MF",1,"solitary","one","none","AR",0.617,0.594,0.5955,NA,NA,0.050204581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Lemuroidea"
"437","pop","Lepilemur_mustelinus","Weasel Sportive Lemur","Mantadya, Madagascar","Forest",0,1,"closed",1,"Nocturnal",NA,NA,5,5,5,6,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,11,1,"wp","MF","MF",0.545454545,"solitary","one","none","AR",NA,NA,0.98,NA,NA,0.028284271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.454545455,5,"Lemuroidea"
"442","pop","Lepilemur_ruficaudatus","Red-tailed Sportive Lemur","Morondava, Madagascar","Forest",0,1,"closed",1,"Nocturnal",NA,NA,NA,NA,NA,8,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,"wp","MF","MF",0.888888889,"solitary","one","none","AR",0.729,0.7185,0.78,0.033941125,0.051618795,0.042426407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.111111111,0,"Lemuroidea"
"450","pop","Lophocebus_albigena","Grey-cheeked Mangabey","Kibale National Park, Uganda","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,1,NA,2,1,11,NA,NA,NA,NA,NA,NA,NA,15,3,"wp","FFMM","FFMM",0.733333333,"groups","one","none","AR",7.89,6.01,6.95,NA,NA,NA,30,36,7,1,13,NA,NA,NA,NA,NA,0.266666667,4,"Cercopithecoidea"
"451","pop","Lophocebus_albigena","Grey-cheeked Mangabey","Dja Reserve, Cameroon","Forest_Artificial_Wetland_Grassland_Rocky",1,1,"both",5,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,"none","FFMM","FFMM",1,"groups","one","none","AR",7.89,6.01,6.95,NA,NA,NA,30,36,7,1,13,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"454","pop","Loris_lydekkerianus","Slender Loris","Ayyalur, India","Forest",0,1,"closed",1,"Nocturnal",NA,NA,4,4,4,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,8,1,"wp","solitary","solitary",0.5,"solitary_groups","one","none","BOTH",0.264,0.269,0.27,NA,NA,NA,1,NA,NA,NA,97,NA,NA,NA,NA,NA,0.5,4,"Lorisoidea"
"455","pop","Loris_lydekkerianus","Slender Loris","Tamil Nadu, India","Forest",0,1,"closed",1,"Nocturnal",NA,NA,10,6,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,1,"wp","MF","MF",0.538461538,"solitary","one","none","BOTH",0.264,0.269,0.27,NA,NA,NA,1,NA,NA,NA,97,NA,NA,NA,NA,NA,0.461538462,6,"Lorisoidea"
"458","pop","Macaca_arctoides","Stump-tailed Macaque","Wat Khuha Santayaram monastery, Thailand","Cave_Forest",0,1,"closed",2,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,"none","FFMM","FFMM",1,"groups","one","yes","BOTH",12.2,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"459","pop","Macaca_arctoides","Stump-tailed Macaque","Tanaxpillo Island, Mexico","Shrubland_Forest_Rocky",1,1,"both",3,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,2,"none","FFMM","FFMM",1,"groups","one","yes","BOTH",12.2,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"461","pop","Macaca_assamensis","Assam(ese) Macaque","Phu Khieo Wildlife Sanctuary, Thailand","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,25,10,"none","FFMM","FFMM",1,"groups","ff","yes","AR",11.3,6.7,NA,NA,NA,NA,42.4,NA,21.2,8.3,22.3,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"462","pop","Macaca_assamensis","Assam(ese) Macaque","Assam, India","Forest_Artificial",0,1,"closed",2,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,"none","FFMM","FFMM",1,"groups","one","none","AR",11.3,6.7,NA,NA,NA,NA,42.4,NA,21.2,8.3,22.3,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"463","pop","Macaca_assamensis","Assam(ese) Macaque","Nagarjun Forest, Nepal","Forest_Shrubland",1,1,"both",2,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,4,1,"none","FFMM","FFMM",1,"groups","one","none","AR",11.3,6.7,NA,NA,NA,NA,42.4,NA,21.2,8.3,22.3,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"464","pop","Macaca_assamensis","Assam(ese) Macaque","Nonggang Nature Reserve, China","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,1,"none","FFMM","FFMM",1,"groups","one","none","AR",11.3,6.7,NA,NA,NA,NA,42.4,NA,21.2,8.3,22.3,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"466","pop","Macaca_cyclopis","Taiwanese / Formosan Rock Macaque","Kenting National Park, Taiwan","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,9,NA,2,NA,NA,NA,NA,NA,NA,NA,11,2,"wp","MFF","MFF",0.818181818,"groups","ff","yes","BOTH",6,4.94,5.47,NA,NA,NA,52,NA,15,NA,NA,NA,NA,NA,NA,NA,0.181818182,2,"Cercopithecoidea"
"467","pop","Macaca_cyclopis","Taiwanese / Formosan Rock Macaque","Mount Longevity, Taiwan","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,1,NA,22,NA,NA,NA,NA,NA,NA,NA,23,3,"wp","FFMM","FFMM",0.956521739,"groups","ff","none","BOTH",6,4.94,5.47,NA,NA,NA,52,NA,15,NA,NA,NA,NA,NA,NA,NA,0.043478261,1,"Cercopithecoidea"
"469","pop","Macaca_fascicularis","Long-tailed/Crab-eating Macaque","Great Nicobar Island","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,3,1,"none","FFMM","FFMM",1,"groups","one","none","BOTH",4.85,3.22,4.03,NA,NA,NA,66.7,NA,17.2,8.9,4.1,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"470","pop","Macaca_fascicularis","Long-tailed/Crab-eating Macaque","Uluwatu Temple, Bali","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,4,1,"none","FFMM","FFMM",1,"groups","one","none","BOTH",4.85,3.22,4.03,NA,NA,NA,66.7,NA,17.2,8.9,4.1,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"471","pop","Macaca_fascicularis","Long-tailed/Crab-eating Macaque","Ketembe Research Station, Indonesia","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,11,1,"none","FFMM","FFMM",1,"groups","ff","none","BOTH",4.85,3.22,4.03,NA,NA,NA,66.7,NA,17.2,8.9,4.1,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"472","pop","Macaca_fascicularis","Long-tailed/Crab-eating Macaque","Gunung Lesser National Park, Indonesia","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,3,NA,11,NA,NA,NA,NA,NA,NA,NA,14,3,"wp","FFMM","FFMM",0.785714286,"groups","ff","yes","BOTH",4.85,3.22,4.03,NA,NA,NA,66.7,NA,17.2,8.9,4.1,NA,NA,NA,NA,NA,0.214285714,2,"Cercopithecoidea"
"473","pop","Macaca_fascicularis","Long-tailed/Crab-eating Macaque","Mentoko Research Station, Indonesia","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,"wp","FFMM","FFMM",1,"groups","ff","yes","BOTH",4.85,3.22,4.03,NA,NA,NA,66.7,NA,17.2,8.9,4.1,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"474","pop","Macaca_fascicularis","Long-tailed/Crab-eating Macaque","Singapore, Malaysia","Artificial_Forest",0,1,"closed",2,"Diurnal",NA,NA,NA,NA,NA,NA,NA,3,NA,25,NA,NA,NA,NA,NA,NA,NA,28,2,"wp","FFMM","FFMM",0.892857143,"groups","one","none","BOTH",4.85,3.22,4.03,NA,NA,NA,66.7,NA,17.2,8.9,4.1,NA,NA,NA,NA,NA,0.107142857,2,"Cercopithecoidea"
"475","pop","Macaca_fascicularis","Long-tailed/Crab-eating Macaque","Peninsular Malaysia","Forest_Wetland_Artificial",0,1,"closed",3,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,10,1,"none","FFMM","FFMM",1,"groups","one","none","BOTH",4.85,3.22,4.03,NA,NA,NA,66.7,NA,17.2,8.9,4.1,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"476","pop","Macaca_fascicularis","Long-tailed/Crab-eating Macaque","Padangtegal Monkey Forest, Bali","Forest_Wetland_Artificial",0,1,"closed",3,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,5,1,"none","FFMM","FFMM",1,"groups","one","yes","BOTH",4.85,3.22,4.03,NA,NA,NA,66.7,NA,17.2,8.9,4.1,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"477","pop","Macaca_fascicularis","Long-tailed/Crab-eating Macaque","Padang, West Sumatra, Indonesia","Forest_Rocky_Artificial",1,1,"both",3,"Diurnal",NA,NA,NA,NA,NA,NA,NA,1,NA,5,NA,NA,NA,NA,NA,NA,NA,6,1,"wp","FFMM","FFMM",0.833333333,"groups","one","none","BOTH",4.85,3.22,4.03,NA,NA,NA,66.7,NA,17.2,8.9,4.1,NA,NA,NA,NA,NA,0.166666667,1,"Cercopithecoidea"
"478","pop","Macaca_fascicularis","Long-tailed/Crab-eating Macaque","Tanjung Puting National Park, Indonesia","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,"none","FFMM","FFMM",1,"groups","one","none","BOTH",4.85,3.22,4.03,NA,NA,NA,66.7,NA,17.2,8.9,4.1,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"480","pop","Macaca_fuscata","Japanese Macaque","Yakushima Island, Japan","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,11,8,"none","FFMM","FFMM",1,"groups","ff","yes","BOTH",10.97,8.03,9.5,NA,NA,NA,20.9,31.55,20,4.6,5.4,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"481","pop","Macaca_fuscata","Japanese Macaque","Kinkazan Island, Japan","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,3,2,"none","FFMM","FFMM",1,"groups","one","none","BOTH",10.97,8.03,9.5,NA,NA,NA,20.9,31.55,20,4.6,5.4,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"482","pop","Macaca_fuscata","Japanese Macaque","Kanagawa, Japan","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,"wp","FFMM","FFMM",1,"groups","ff","none","BOTH",10.97,8.03,9.5,NA,NA,NA,20.9,31.55,20,4.6,5.4,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"483","pop","Macaca_fuscata","Japanese Macaque","Koshima Islet, Japan","Forest_Shrubland",1,1,"both",2,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,"none","FFMM","FFMM",1,"groups","one","none","BOTH",10.97,8.03,9.5,NA,NA,NA,20.9,31.55,20,4.6,5.4,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"484","pop","Macaca_fuscata","Japanese Macaque","Katsuyama, Japan","Forest_Rocky",1,1,"both",2,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,4,4,"none","FFMM","FFMM",1,"groups","ff","yes","BOTH",10.97,8.03,9.5,NA,NA,NA,20.9,31.55,20,4.6,5.4,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"487","pop","Macaca_leonina","Northern Pig-tailed Macaque","Mo Singto Forest, Khao Yai National Park, Thailand","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,3,2,"none","FFMM","FFMM",1,"groups","one","none","BOTH",8.48,4.93,6.7,NA,NA,NA,65.9,6.1,6.1,2.1,11.7,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
