"","sp.pop","Genus_species","Common_name","Population","Habitat_type","Habitat_open","Habitat_closed","Habitat_cat","Habitat_heterogenity","Activity_pattern","DisperseM","DisperseF","solitaryM","solitaryF","Solitary","MF","MF_adult_off","MFF","FMM","FFMM","FF","MM","Sex_specific_group","Sex_specific_solitaryM","Sex_specific_solitaryF","Sibling","Nbr_of_studies","Nbr_social_units","Nbr_papers_for_each_field_sites","IVSO","Main1","Main2","calculation_main_SO","foraging_style","level_of_society","Disruption","Locomotion","mean_Male_Galan","mean_Female_Galan","mean_other_Galan","sd_Male_Galan","sd_Female_Galan","sd_other_Galan","mean_Fruits_galan","mean_Seeds_galan","mean_Leaves_galan","mean_Flowers_galan","mean_Animal_galan","sd_Fruits_galan","sd_Seeds_galan","sd_Leaves_galan","sd_Flowers_galan","sd_Animals_galan","IVSO_prop","IVSOint","superfamily"
"293","pop","Daubentonia_madagascariensis","Aye-Aye","Mananara, Madagascar","Forest",0,1,"closed",1,"Nocturnal",NA,NA,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,"wp","solitary","MF",0.5,"solitary_groups","one","none","AR",2.62,2.49,2.545,NA,NA,0.021213203,NA,40.83,NA,NA,NA,NA,NA,NA,NA,NA,0.5,1,"Lemuroidea"
"295","pop","Erythrocebus_patas","Patas Monkey","Waza Reserve, Cameroon","Savanna_Forest_Wetland",1,1,"both",3,"Diurnal",NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,4,1,"wp","MFF","MFF",0.75,"groups","one","none","T",12.4,6.5,NA,NA,NA,NA,6.5,0.6,2.2,9.42,42.7,NA,NA,NA,NA,NA,0.25,1,"Cercopithecoidea"
"296","pop","Erythrocebus_patas","Patas Monkey","La Parguera, Puerto Rico","Wetland_Forest",0,1,"closed",2,"Diurnal",1,NA,NA,NA,NA,NA,NA,4,NA,3,NA,NA,NA,NA,NA,NA,NA,7,2,"wp","MFF","MFF",0.571428571,"groups","one","none","T",12.4,6.5,NA,NA,NA,NA,6.5,0.6,2.2,9.42,42.7,NA,NA,NA,NA,NA,0.428571429,3,"Cercopithecoidea"
"297","pop","Erythrocebus_patas","Patas Monkey","Laikipia District, Kenya","Grassland_Forest_Wetland_Artifical",1,1,"both",4,"Diurnal",2,NA,NA,NA,NA,NA,NA,5,NA,5,1,NA,NA,NA,NA,NA,NA,10,3,"wp","MFF","FFMM",0.5,"groups","ff","yes","T",12.4,6.5,NA,NA,NA,NA,6.5,0.6,2.2,9.42,42.7,NA,NA,NA,NA,NA,0.5,5,"Cercopithecoidea"
"298","pop","Erythrocebus_patas","Patas Monkey","Kala Maloue National Park,Cameroon","Wetland_Grassland_Forest",1,1,"both",3,"Diurnal",1,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,"wp","MFF","MFF",1,"groups","ff","yes","T",12.4,6.5,NA,NA,NA,NA,6.5,0.6,2.2,9.42,42.7,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"302","pop","Eulemur_collaris","Red-collared Brown Lemur","Sainte Luce, Madagascar","Forest",0,1,"closed",1,"Cathemeral",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,4,2,"none","FFMM","FFMM",1,"groups","one","none","AR",2.07,2.217,2.18,NA,NA,NA,78.5,NA,4.4,14,3.3,NA,NA,NA,NA,NA,0,0,"Lemuroidea"
"303","pop","Eulemur_collaris","Red-collared Brown Lemur","Madena, Madagascar","Forest",0,1,"closed",1,"Cathemeral",NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,3,2,"wp","FMM","FMM",0.666666667,"groups","one","none","AR",2.07,2.217,2.18,NA,NA,NA,78.5,NA,4.4,14,3.3,NA,NA,NA,NA,NA,0.333333333,0,"Lemuroidea"
"306","pop","Eulemur_flavifrons","Blue-eyed Black Lemur","Ankarafa Forest, Madagascar","Forest",0,1,"closed",1,"Cathemeral",NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,6,1,"none","FFMM","FFMM",1,"groups","one","none","AR",1.88,1.76,1.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Lemuroidea"
"308","pop","Eulemur_fulvus","Brown Lemur","Berenty, Madagascar","Forest",0,1,"closed",1,"Cathemeral",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,2,"none","FFMM","FFMM",1,"groups","one","none","AR",1.95,2.15,1.84,NA,NA,0.296984848,24.6,NA,70.62,3.53,NA,NA,NA,NA,NA,NA,0,0,"Lemuroidea"
"310","pop","Eulemur_macaco","Black Lemur","Ampasikely, Madagascar","Forest",0,1,"closed",1,"Cathemeral",NA,NA,NA,NA,NA,1,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,5,1,"wp","FFMM","FFMM",0.8,"groups","one","none","AR",2.115,2.095,2.063333333,0.332340187,0.473761543,0.293995465,78,NA,12.7,4.8,NA,NA,NA,NA,NA,NA,0.2,0,"Lemuroidea"
