"","sp.pop","Genus_species","Common_name","Population","Habitat_type","Habitat_open","Habitat_closed","Habitat_cat","Habitat_heterogenity","Activity_pattern","DisperseM","DisperseF","solitaryM","solitaryF","Solitary","MF","MF_adult_off","MFF","FMM","FFMM","FF","MM","Sex_specific_group","Sex_specific_solitaryM","Sex_specific_solitaryF","Sibling","Nbr_of_studies","Nbr_social_units","Nbr_papers_for_each_field_sites","IVSO","Main1","Main2","calculation_main_SO","foraging_style","level_of_society","Disruption","Locomotion","mean_Male_all","mean_Female_all","mean_other_all","sd_Male_all","sd_Female_all","sd_other_all","mean_Fruits_all","mean_Seeds_all","mean_Leaves_all","mean_Flowers_all","mean_Animal_all","sd_Fruits_all","sd_Seeds_all","sd_Leaves_all","sd_Flowers_all","sd_Animals_all","IVSO_prop","IVSOint","superfamily"
"548","pop","Mandrillus_sphinx","Mandrill","Lopé Reserve, Gabon","Forest_Savanna",1,1,"both",2,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,"none","FFMM","FFMM",1,"groups","one","none","AR",28.127,10.43925,23.6,6.509560866,1.648846743,NA,72.96666667,34.4,5.533333333,0.8,5.833333333,22.82681172,NA,0.472581563,NA,1.530795,0,0,"Cercopithecoidea"
"549","pop","Mandrillus_sphinx","Mandrill","Campo, Cameroon","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,1,4,1,"wp","FFMM","FFMM",0.75,"groups","one","none","AR",28.127,10.43925,23.6,6.509560866,1.648846743,NA,72.96666667,34.4,5.533333333,0.8,5.833333333,22.82681172,NA,0.472581563,NA,1.530795,0.25,1,"Cercopithecoidea"
"552","pop","Mico_argentatus","Silvery Marmoset","Alter Do Chao, Brazil","Forest_Savanna_Wetland",1,1,"both",3,"Diurnal",NA,NA,NA,NA,NA,4,NA,NA,NA,1,1,2,1,NA,NA,NA,NA,6,1,"wp","MF","MF",0.666666667,"groups","one","none","AR",0.339,0.3575,0.35,0.012727922,0.003535534,NA,31.97666667,NA,NA,NA,10.11333333,12.67830562,NA,NA,NA,6.975796251,0.333333333,1,"Ceboidea"
"570","pop","Microcebus_griseorufus","Gray-Brown Mouse Lemur","Berenty Private Reserve, Southeastern Madagascar","Forest",0,1,"closed",1,"Nocturnal",NA,NA,NA,NA,NA,3,NA,NA,NA,1,3,1,1,NA,NA,NA,NA,5,1,"wp","MF","MF",0.6,"solitary","one","none","AR",0.048,0.057,0.05,NA,NA,NA,18,NA,NA,3,6,NA,NA,NA,NA,NA,0.4,2,"Lemuroidea"
"579","pop","Microcebus_murinus","Gray Mouse Lemur","Forest reserve of Ankarafantsika, Northwestern Madagascar","Forest",0,1,"closed",1,"Nocturnal",NA,NA,4,5,4,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,4,2,"wp","solitary","solitary",1,"solitary","one","none","AR",0.0609,0.0672,0.05895,0.002969848,NA,0.001484924,5.7,NA,NA,NA,21.3,NA,NA,NA,NA,NA,0,0,"Lemuroidea"
"582","pop","Microcebus_ravelobensis","Golden Brown Mouse Lemur","Forest reserve of Ankarafantsika, Northwestern Madagascar","Forest",0,1,"closed",1,"Nocturnal",NA,NA,8,7,7,2,NA,NA,2,1,1,1,1,NA,NA,NA,NA,13,2,"wp","solitary","solitary",0.538461538,"solitary","one","none","AR",0.0537,0.060365,0.05584,0.002828427,0.002877925,0.004091797,6,NA,NA,NA,30,NA,NA,NA,NA,NA,0.461538462,6,"Lemuroidea"
"589","pop","Miopithecus_talapoin","Southern Talapoin Monkey","Ntsi-Belong, Gabon","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,"none","FFMM","FFMM",1,"groups","one","none","BOTH",1.315,0.9475,1.25,0.091923882,0.24395184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"590","pop","Miopithecus_talapoin","Southern Talapoin Monkey","Mbalmayo Forest Reserve, Cameroon","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,1,"none","FFMM","FFMM",1,"groups","ff","none","BOTH",1.315,0.9475,1.25,0.091923882,0.24395184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"592","pop","Mirza_coquereli","Coquerel's Giant Mouse Lemur","Kirindy Forest, Western Madagascar","Forest",0,1,"closed",1,"Nocturnal",NA,NA,22,19,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,1,"none","solitary","solitary",1,"solitary","one","none","AR",0.3104,0.3125,0.31,0.009050967,0.019091883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Lemuroidea"
"595","pop","Nasalis_larvatus","Proboscis Monkey","Samunsam Wildlife Sanctuary, Sarawak","Forest_Wetland",0,1,"closed",2,"Diurnal",1,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,"none","MFF","MFF",1,"groups","ff","yes","AR",19.59,9.9826,15.75,2.377751038,0.59665216,NA,37,18.66666667,54.96666667,5.033333333,1.333333333,20.8468223,16.80277755,15.725881,3.521836642,0.577350269,0,0,"Cercopithecoidea"
