"","sp.pop","Genus_species","Common_name","Population","Habitat_type","Habitat_open","Habitat_closed","Habitat_cat","Habitat_heterogenity","Activity_pattern","DisperseM","DisperseF","solitaryM","solitaryF","Solitary","MF","MF_adult_off","MFF","FMM","FFMM","FF","MM","Sex_specific_group","Sex_specific_solitaryM","Sex_specific_solitaryF","Sibling","Nbr_of_studies","Nbr_social_units","Nbr_papers_for_each_field_sites","IVSO","Main1","Main2","calculation_main_SO","foraging_style","level_of_society","Disruption","Locomotion","mean_Male_all","mean_Female_all","mean_other_all","sd_Male_all","sd_Female_all","sd_other_all","mean_Fruits_all","mean_Seeds_all","mean_Leaves_all","mean_Flowers_all","mean_Animal_all","sd_Fruits_all","sd_Seeds_all","sd_Leaves_all","sd_Flowers_all","sd_Animals_all","IVSO_prop","IVSOint","superfamily"
"500","pop","Macaca_mulatta","Rhesus Macaque","Neilingding National Nature Reserve, China","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,"none","FFMM","FFMM",1,"groups","one","none","BOTH",7.345,5.14,5.96,0.502045815,0.282842712,NA,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"501","pop","Macaca_mulatta","Rhesus Macaque","Henan Taihangshan Macaque National Nature Reserve, China","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,"none","FFMM","FFMM",1,"groups","one","none","BOTH",7.345,5.14,5.96,0.502045815,0.282842712,NA,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"502","pop","Macaca_mulatta","Rhesus Macaque","Tughlaqabad, India","Artificial_Grassland_Rocky_Shrubland",1,0,"open",4,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,5,1,"none","FFMM","FFMM",1,"groups","ff","yes","BOTH",7.345,5.14,5.96,0.502045815,0.282842712,NA,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"503","pop","Macaca_mulatta","Rhesus Macaque","Chakia Forest, Uttar Pradesh","Artificial_Forest",0,1,"closed",2,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,1,"none","FFMM","FFMM",1,"groups","one","none","BOTH",7.345,5.14,5.96,0.502045815,0.282842712,NA,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"505","pop","Macaca_munzala","Arunachal Macaque","Tawang District, India","Forest_Grassland_Shrubland",1,1,"both",3,"Diurnal",2,NA,NA,NA,NA,NA,NA,1,NA,16,NA,NA,NA,NA,NA,NA,NA,17,4,"wp","FFMM","FFMM",0.941176471,"groups","one","none","BOTH",15,NA,NA,NA,NA,NA,12.2,NA,25.2,5.15,NA,1.13137085,NA,20.08183259,2.61629509,NA,0.058823529,0,"Cercopithecoidea"
"506","pop","Macaca_munzala","Arunachal Macaque","Kameng District, India","Forest_Grassland_Shrubland",1,1,"both",3,"Diurnal",NA,NA,NA,NA,NA,NA,NA,1,NA,5,NA,NA,NA,NA,NA,NA,NA,6,1,"wp","FFMM","FFMM",0.833333333,"groups","one","none","BOTH",15,NA,NA,NA,NA,NA,12.2,NA,25.2,5.15,NA,1.13137085,NA,20.08183259,2.61629509,NA,0.166666667,1,"Cercopithecoidea"
"507","pop","Macaca_munzala","Arunachal Macaque","Changlang District, India","Forest_Grassland_Shrubland",1,1,"both",3,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,7,1,"none","FFMM","FFMM",1,"groups","one","none","BOTH",15,NA,NA,NA,NA,NA,12.2,NA,25.2,5.15,NA,1.13137085,NA,20.08183259,2.61629509,NA,0,0,"Cercopithecoidea"
"508","pop","Macaca_munzala","Arunachal Macaque","Lohit District, India","Forest_Grassland_Shrubland",1,1,"both",3,"Diurnal",NA,NA,NA,NA,NA,NA,NA,2,NA,7,NA,NA,NA,NA,NA,NA,NA,9,1,"wp","FFMM","FFMM",0.777777778,"groups","one","none","BOTH",15,NA,NA,NA,NA,NA,12.2,NA,25.2,5.15,NA,1.13137085,NA,20.08183259,2.61629509,NA,0.222222222,1,"Cercopithecoidea"
"510","pop","Macaca_nemestrina","Southern/Sunda Pig-tailed Macaque","Segari Melintang Forest Reserve, Peninsular Malaysia","Forest_Wetland",0,1,"closed",2,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,"none","FFMM","FFMM",1,"groups","one","yes","BOTH",10.43333333,6.156666667,8.89,1.415391583,0.657596634,NA,74.6,NA,8.9,1.1,12.6,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"511","pop","Macaca_nemestrina","Southern/Sunda Pig-tailed Macaque","Mount Kerici, Indonesia","Forest_Rocky",1,1,"both",2,"Diurnal",10,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,2,1,"wp","MFF","FFMM",0.5,"groups","one","none","BOTH",10.43333333,6.156666667,8.89,1.415391583,0.657596634,NA,74.6,NA,8.9,1.1,12.6,NA,NA,NA,NA,NA,0.5,1,"Cercopithecoidea"
